target_lang|closest_lang_0|fixed_dist_0|closest_lang_1|fixed_dist_1|closest_lang_2|fixed_dist_2|closest_lang_3|fixed_dist_3|closest_lang_4|fixed_dist_4
seh|shp|0.5|otq|0.5|agr|0.5|kea|0.5|udu|0.5
sey|jic|0.5|bzh|0.5|fil|0.5|nfa|0.5|yre|0.5
sgb|cuk|0.5|mri|0.5|acr|0.5|tew|0.5|swe|0.5
shp|hto|0.5|xtd|0.5|luo|0.5|tca|0.5|mil|0.5
sja|yre|0.5|gam|0.5|bel|0.5|bul|0.5|mox|0.5
slk|mbb|0.5|txu|0.5|toi|0.5|ood|0.5|xed|0.5
slv|awb|0.5|zao|0.5|chf|0.5|cap|0.5|bzj|0.5
sna|mgh|0.5|quf|0.5|quh|0.5|zlm|0.5|cuc|0.5
snd|arl|0.5|lid|0.5|mkl|0.5|ncj|0.5|mgh|0.5
snn|umb|0.5|sri|0.5|alp|0.5|quh|0.5|car|0.5
snp|ibo|0.5|slv|0.5|agu|0.5|upv|0.5|rug|0.5
som|oci|0.5|pls|0.5|bqc|0.5|bbb|0.5|umb|0.5
soy|lin|0.5|nhu|0.5|kdc|0.5|pao|0.5|nfa|0.5
spa|guo|0.5|yor|0.5|tos|0.5|sgb|0.5|zar|0.5
spp|gbk|0.5|hlt|0.5|box|0.5|mbh|0.5|qvh|0.5
spy|kdl|0.5|pan|0.5|gle|0.5|gub|0.5|mox|0.5
sri|cco|0.5|caa|0.5|bqp|0.5|txu|0.5|mpm|0.5
srm|bps|0.5|sus|0.5|mco|0.5|lao|0.5|suz|0.5
srn|heb|0.5|bao|0.5|guo|0.5|imo|0.5|jvn|0.5
srp|soy|0.5|emp|0.5|usp|0.5|kor|0.5|lex|0.5
stp|poy|0.5|apr|0.5|rro|0.5|cni|0.5|yad|0.5
sus|far|0.5|rgu|0.5|hye|0.5|lac|0.5|apr|0.5
suz|azz|0.5|nnq|0.5|tpi|0.5|yaa|0.5|zpu|0.5
swe|tnn|0.5|cjo|0.5|qul|0.5|lbb|0.5|ese|0.5
swh|kat|0.5|byr|0.5|llg|0.5|tnn|0.5|msy|0.5
sxb|cbc|0.5|hvn|0.5|hin|0.5|qvw|0.5|agr|0.5
tac|udu|0.5|ndj|0.5|pol|0.5|mil|0.5|tnp|0.5
taj|far|0.5|mkn|0.5|zam|0.5|ces|0.5|zpm|0.5
tam|ron|0.5|kde|0.5|med|0.5|yor|0.5|bps|0.5
tav|kik|0.5|gwi|0.5|hun|0.5|bgt|0.5|ita|0.5
tbc|tee|0.5|pib|0.5|mar|0.5|tos|0.5|agu|0.5
tbg|zad|0.5|xtd|0.5|urt|0.5|med|0.5|box|0.5
tbl|nab|0.5|msy|0.5|ndj|0.5|tos|0.5|bqc|0.5
tbz|mca|0.5|lid|0.5|khm|0.5|ncu|0.5|gub|0.5
tca|pan|0.5|ron|0.5|ded|0.5|rai|0.5|hto|0.5
tcs|gum|0.5|tuf|0.5|kan|0.5|tuo|0.5|kvn|0.5
tee|isl|0.5|qub|0.5|pst|0.5|cbu|0.5|azj|0.5
tel|wap|0.5|mio|0.5|rgu|0.5|tos|0.5|chf|0.5
tew|boa|0.5|dik|0.5|mxq|0.5|swh|0.5|bps|0.5
tfr|bzj|0.5|mco|0.5|kne|0.5|prf|0.5|kea|0.5
tgk|dgo|0.5|tue|0.5|zab|0.5|dop|0.5|mpp|0.5
tgo|lgl|0.5|tnk|0.5|ast|0.5|cab|0.5|cbi|0.5
tgp|zav|0.5|tnp|0.5|ood|0.5|mpm|0.5|mbt|0.5
tna|nas|0.5|dgr|0.5|bss|0.5|cax|0.5|nya|0.5
tnk|kwd|0.5|sja|0.5|quf|0.5|nca|0.5|khm|0.5
tnn|meq|0.5|xng|0.5|ken|0.5|cgc|0.5|zad|0.5
tnp|kdl|0.5|cbr|0.5|hrv|0.5|agr|0.5|kek|0.5
toc|pls|0.5|lit|0.5|sus|0.5|bao|0.5|hub|0.5
toi|nhu|0.5|tcs|0.5|jic|0.5|deu|0.5|agn|0.5
tos|tnp|0.5|car|0.5|daa|0.5|kat|0.5|nas|0.5
tpi|nhw|0.5|mqb|0.5|ptu|0.5|cle|0.5|kue|0.5
tpt|yad|0.5|ote|0.5|prf|0.5|tam|0.5|bps|0.5
trc|tos|0.5|luo|0.5|aia|0.5|maz|0.5|wol|0.5
ttc|lao|0.5|myy|0.5|ken|0.5|mcb|0.5|nhe|0.5
tte|bhd|0.5|shp|0.5|ign|0.5|cab|0.5|qxo|0.5
tue|imo|0.5|seh|0.5|luo|0.5|mih|0.5|mqb|0.5
tuf|vid|0.5|zar|0.5|mgh|0.5|nin|0.5|boa|0.5
tuo|bgc|0.5|gai|0.5|jac|0.5|zpu|0.5|heb|0.5
tur|mkl|0.5|mqj|0.5|zai|0.5|bao|0.5|kea|0.5
txq|ztq|0.5|cbi|0.5|usp|0.5|mar|0.5|tam|0.5
txu|acu|0.5|cpb|0.5|heb|0.5|prf|0.5|cax|0.5
udu|mbh|0.5|mih|0.5|kyq|0.5|knj|0.5|spp|0.5
ukr|acf|0.5|kfs|0.5|zca|0.5|qub|0.5|mbc|0.5
umb|kyg|0.5|wap|0.5|urd|0.5|gum|0.5|lex|0.5
upv|zaa|0.5|cpu|0.5|cbc|0.5|bjr|0.5|mbt|0.5
ura|gym|0.5|kmu|0.5|qxn|0.5|otq|0.5|maz|0.5
urb|msy|0.5|ycn|0.5|usp|0.5|bjz|0.5|isl|0.5
urd|vid|0.5|hub|0.5|huv|0.5|afr|0.5|vmy|0.5
urk|ata|0.5|qvs|0.5|ood|0.5|kyg|0.5|iou|0.5
urt|lat|0.5|sab|0.5|hun|0.5|mkd|0.5|mqb|0.5
usp|ign|0.5|lvs|0.5|glk|0.5|ruf|0.5|kan|0.5
uzn|hvn|0.5|bel|0.5|qxo|0.5|rro|0.5|ake|0.5
vid|xed|0.5|tgo|0.5|srn|0.5|azg|0.5|slk|0.5
vie|dgo|0.5|cpu|0.5|mcp|0.5|kat|0.5|tbz|0.5
vmy|kmu|0.5|tee|0.5|ded|0.5|gwi|0.5|tgp|0.5
wap|ptu|0.5|alp|0.5|txu|0.5|rug|0.5|hat|0.5
wmw|kyz|0.5|gvc|0.5|glk|0.5|mri|0.5|yva|0.5
wol|xed|0.5|poi|0.5|bpr|0.5|huv|0.5|lin|0.5
xed|mie|0.5|maj|0.5|bel|0.5|mbt|0.5|med|0.5
xng|acu|0.5|quf|0.5|mto|0.5|ood|0.5|isl|0.5
xnr|poi|0.5|tel|0.5|pib|0.5|cap|0.5|jic|0.5
xon|poi|0.5|mcb|0.5|tte|0.5|cso|0.5|bel|0.5
xtd|rug|0.5|por|0.5|yaa|0.5|rgu|0.5|ory|0.5
xtm|snp|0.5|azz|0.5|spy|0.5|daa|0.5|jac|0.5
yaa|ben|0.5|ces|0.5|ltz|0.5|mca|0.5|myy|0.5
yad|tca|0.5|qul|0.5|yal|0.5|kfs|0.5|cab|0.5
yal|sgb|0.5|qvz|0.5|snd|0.5|apr|0.5|bzj|0.5
ycn|lid|0.5|xon|0.5|kne|0.5|boj|0.5|ast|0.5
yka|gwi|0.5|poy|0.5|bqp|0.5|pab|0.5|pao|0.5
yor|mco|0.5|ycn|0.5|bba|0.5|wap|0.5|cso|0.5
yre|rop|0.5|gum|0.5|qul|0.5|cbt|0.5|xtm|0.5
yva|rgu|0.5|chv|0.5|npl|0.5|eng|0.5|tuo|0.5
zaa|dan|0.5|mbc|0.5|toi|0.5|yor|0.5|ycn|0.5
zab|dop|0.5|tac|0.5|cbc|0.5|hto|0.5|tgp|0.5
zac|ikk|0.5|gle|0.5|myk|0.5|mkd|0.5|ttc|0.5
zad|met|0.5|zav|0.5|dop|0.5|nin|0.5|crn|0.5
zai|mpm|0.5|tnn|0.5|bmr|0.5|agr|0.5|nch|0.5
zam|amk|0.5|kat|0.5|daa|0.5|dgr|0.5|jav|0.5
zao|cbc|0.5|msy|0.5|klv|0.5|cso|0.5|sdh|0.5
zar|bem|0.5|ata|0.5|hun|0.5|ake|0.5|ceb|0.5
zas|bjz|0.5|nnq|0.5|lin|0.5|noa|0.5|cpu|0.5
zav|qvw|0.5|zsm|0.5|loz|0.5|mjl|0.5|snp|0.5
zaw|mqb|0.5|hun|0.5|udu|0.5|tca|0.5|myy|0.5
zca|not|0.5|dan|0.5|ese|0.5|kyz|0.5|ikk|0.5
zga|mgh|0.5|meq|0.5|upv|0.5|lvs|0.5|cgc|0.5
ziw|ast|0.5|sey|0.5|cnl|0.5|mib|0.5|tpt|0.5
zlm|sab|0.5|qve|0.5|ptu|0.5|ncj|0.5|cap|0.5
zos|nhu|0.5|mox|0.5|mpp|0.5|gng|0.5|snd|0.5
zpc|bmu|0.5|guh|0.5|zpm|0.5|khm|0.5|huu|0.5
zpl|upv|0.5|cuc|0.5|yal|0.5|rop|0.5|eng|0.5
zpm|gle|0.5|nch|0.5|maj|0.5|cme|0.5|kyc|0.5
zpo|hub|0.5|cbi|0.5|jac|0.5|bem|0.5|ngu|0.5
zpu|bkd|0.5|iou|0.5|rgu|0.5|zca|0.5|ipi|0.5
zpz|ibo|0.5|acr|0.5|zav|0.5|deu|0.5|lex|0.5
zsm|tue|0.5|rro|0.5|agg|0.5|gum|0.5|zpm|0.5
ztq|mar|0.5|jiv|0.5|crn|0.5|poy|0.5|qvc|0.5
zty|sey|0.5|miz|0.5|boj|0.5|atb|0.5|tur|0.5
zyp|tnk|0.5|bps|0.5|agu|0.5|bem|0.5|kor|0.5
